Id2;application_when;address_state;occupation;birth_date;monthly_income;monthly_rent;residence_rent_or_own;residence_duration;bank_account_duration;home_phone_type;gender;score_TU;score_FICO_money;score_lexisnexis;score_serasa;score_unit4;credit_line_requested;credit_line_approved
1;07/08/12 15:50;SC;Casino cage worker;19/06/83;100;950;TRUE;6 months or less;3+ years;Mobile;female;411;699;440;102;418;1500;1100
2;07/10/12 20:24;PE;Astronautical engineer;16/09/76;10500;2400;FALSE;3+ years;3+ years;Mobile;male;753;850;575;89;385;25500;24900
3;27/11/14 21:15;ES;Conference service coordinator;03/08/76;7700;100;TRUE;1-2 years;3+ years;Mobile;male;478;646;464;670;213;9000;8100
4;19/10/12 16:52;SP;Contract skidder;26/08/81;10200;3000;FALSE;1-2 years;3+ years;Mobile;female;787;850;645;728;435;24000;23500
5;29/04/13 13:06;SP;Macromolecular chemist;23/09/95;3000;0;TRUE;3+ years;6 months or less;Home;male;780;850;690;305;398;5500;4600
6;02/12/13 17:59;SP;Clinical psychologist;23/12/62;8000;1700;FALSE;7-12 months;3+ years;Mobile;male;200;159;200;757;259;26500;26200
7;01/04/15 18:18;RS;Human resources coordinator;18/03/91;9900;900;TRUE;1-2 years;6 months or less;Home;female;200;319;200;244;415;30500;29800
8;09/03/12 13:50;SP;Glazier;09/10/94;8000;1500;TRUE;3+ years;6 months or less;Mobile;male;565;451;453;190;239;13500;12900
9;15/07/14 16:08;SP;Textile knitting and weaving machine tender;03/05/80;3300;400;TRUE;3+ years;3+ years;Home;female;697;850;616;0;491;3500;1100
10;08/09/11 12:24;SP;Power plant operator;06/01/62;1600;3900;TRUE;3+ years;1-2 years;Mobile;male;763;830;573;0;592;2000;1300
11;30/05/14 14:21;RJ;Custom inspector;13/11/69;2200;700;TRUE;3+ years;3+ years;Mobile;male;758;850;630;0;451;1500;1300
12;08/09/14 17:39;DF;Ambulance driver;02/02/92;7600;2150;TRUE;7-12 months;6 months or less;Mobile;male;678;730;556;369;706;12500;10100
13;29/07/13 16:48;SC;Promotions specialist;02/01/90;4100;150;TRUE;3+ years;3+ years;Mobile;female;701;596;575;559;77;2000;1300
14;16/03/15 19:50;DF;Funeral director;02/10/77;11200;1000;TRUE;1-2 years;3+ years;Mobile;female;510;850;392;350;430;9500;8400
15;07/03/12 17:35;SP;Materials scientist;07/01/54;2500;350;FALSE;1-2 years;3+ years;Home;male;604;564;528;26;273;8500;8200
16;01/08/13 18:42;PE;Engineering technician;25/04/86;900;3850;TRUE;3+ years;1-2 years;Mobile;male;748;537;608;36;170;2000;1500
17;24/06/13 10:08;SC;Abdominal sonographer;30/11/74;5100;950;TRUE;3+ years;3+ years;Home;female;643;736;537;38;455;2000;1500
18;05/11/13 18:22;RJ;Refractory materials repairer;28/06/78;7100;2500;FALSE;3+ years;6 months or less;Mobile;female;578;675;542;120;195;26500;26100
19;05/02/15 19:28;RJ;Product development manager;10/12/85;12000;6950;TRUE;1-2 years;7-12 months;Home;male;685;850;613;213;342;19500;19200
20;29/11/14 02:11;SP;Surgeons;30/12/79;1200;400;TRUE;3+ years;3+ years;Mobile;male;746;850;662;65;275;2500;1100
21;12/12/14 14:00;SP;Unlicensed assistive personnel;16/03/91;4000;3450;TRUE;3+ years;3+ years;Mobile;male;405;543;389;180;342;2000;1100
22;08/06/13 18:31;SP;Medical social worker;27/07/76;3400;1650;FALSE;6 months or less;6 months or less;Mobile;female;790;694;690;175;392;2500;1200
23;01/01/14 16:32;SP;Private investigator;07/08/71;2100;800;TRUE;7-12 months;6 months or less;Mobile;female;779;850;591;104;638;2000;1100
24;01/06/13 15:19;RJ;Computer control operator;18/10/66;200;0;FALSE;1-2 years;3+ years;Mobile;female;285;235;294;28;418;2500;1100
25;28/04/14 17:44;RJ;Administrative leader;23/11/86;100;250;TRUE;3+ years;6 months or less;Mobile;female;638;831;690;34;371;2000;1600
26;06/01/14 15:38;SP;Station agent;16/11/82;5200;1000;TRUE;7-12 months;6 months or less;Mobile;female;276;382;286;0;503;6500;4800
27;28/04/12 13:45;PI;Physical geographer;17/02/75;2200;1850;FALSE;1-2 years;3+ years;Mobile;male;656;613;607;193;324;1500;1100
28;13/10/14 16:13;DF;Welder;31/01/80;1900;0;FALSE;3+ years;3+ years;Mobile;male;789;592;690;116;474;1500;1100
29;10/11/11 13:40;RJ;Hand sewer;14/06/86;1100;250;TRUE;3+ years;3+ years;Mobile;male;649;713;514;74;277;2000;1200
30;20/08/13 15:51;SP;Ski patrol;16/03/81;16500;4550;TRUE;3+ years;6 months or less;Mobile;male;367;433;200;86;69;36500;35800
31;20/04/13 18:13;SP;Job estimator;13/10/77;3100;1150;FALSE;1-2 years;1-2 years;Mobile;male;789;724;690;292;213;3000;2200
32;19/05/15 19:33;MS;Religious activities and education director;06/10/90;300;1000;TRUE;3+ years;3+ years;Mobile;female;200;276;321;0;371;1500;1100
33;28/08/13 10:57;SP;Motorcycle mechanic;18/08/99;2700;1100;TRUE;3+ years;3+ years;Mobile;female;771;676;681;0;307;1500;1200
34;10/06/14 20:09;PI;Camera operator;19/05/65;2600;100;FALSE;3+ years;3+ years;Mobile;female;634;591;586;63;204;1500;1100
35;09/06/14 11:53;GO;Community dietitian;25/04/83;3400;750;TRUE;3+ years;1-2 years;Mobile;female;710;850;587;74;478;7000;6300
36;04/04/14 13:29;GO;Public relations manager;14/02/84;200;500;TRUE;1-2 years;1-2 years;Mobile;female;379;633;348;723;608;2000;1100
37;08/08/11 12:16;MG;Water transportation pilot;31/10/67;4700;200;FALSE;3+ years;6 months or less;Mobile;male;640;689;561;103;361;8500;7900
38;01/06/15 19:28;SP;Card punching machine operator;12/04/85;2800;450;TRUE;7-12 months;6 months or less;Mobile;female;200;100;236;285;270;19000;18300
39;15/04/14 04:55;CE;Zookeeper;27/01/98;2300;350;TRUE;1-2 years;3+ years;Home;female;200;271;380;464;366;21000;20600
40;29/09/13 13:14;RJ;Grill cook;26/06/79;3300;0;FALSE;3+ years;1-2 years;Mobile;male;200;267;200;362;166;10500;10000
