id2;defaulted (Failed to pay his bill);monthly_spend;customer_until
1;FALSE;9;NA
2;FALSE;2771;NA
3;FALSE;866;NA
5;FALSE;896;NA
6;TRUE;1350;02/03/14
7;TRUE;590;01/05/15
8;FALSE;277;NA
9;FALSE;1020;NA
10;FALSE;978;22/05/15
11;FALSE;690;NA
12;FALSE;4486;NA
13;FALSE;3741;NA
14;FALSE;506;NA
15;FALSE;215;NA
16;FALSE;680;NA
17;FALSE;2391;26/05/15
18;FALSE;3330;NA
19;FALSE;768;NA
20;FALSE;365;NA
21;FALSE;1222;NA
22;FALSE;1166;NA
23;FALSE;169;02/07/15
24;FALSE;61;29/01/15
25;FALSE;42;NA
26;TRUE;182;06/09/14
27;FALSE;312;23/02/13
28;FALSE;1206;NA
29;FALSE;180;NA
30;TRUE;1257;20/08/15
31;FALSE;1169;NA
32;FALSE;250;NA
33;FALSE;192;NA
34;FALSE;861;NA
35;FALSE;2691;NA
37;FALSE;651;NA
38;TRUE;1471;01/08/15
39;TRUE;163;15/08/14
40;FALSE;679;NA
41;FALSE;124;NA
42;FALSE;656;11/03/15
43;TRUE;118;24/04/14
44;FALSE;255;NA
45;TRUE;1532;09/08/14
46;FALSE;157;07/06/13
47;FALSE;2005;NA
48;FALSE;340;NA
49;FALSE;673;NA
50;TRUE;250;08/11/13
51;FALSE;2414;NA
52;FALSE;674;NA
53;TRUE;1975;15/08/15
54;FALSE;265;NA
55;FALSE;592;NA
56;FALSE;461;10/06/15
57;TRUE;1954;21/03/15
58;FALSE;799;NA
59;FALSE;1168;NA
60;TRUE;2771;20/04/13
61;FALSE;1048;NA
62;FALSE;261;NA
63;FALSE;1890;NA
64;FALSE;1279;NA
65;TRUE;1537;13/08/14
66;FALSE;977;NA
67;FALSE;510;01/10/14
68;FALSE;747;21/05/14
69;FALSE;49;NA
70;TRUE;3022;25/05/12
71;FALSE;313;19/12/13
72;TRUE;365;20/02/15
73;FALSE;401;NA
74;TRUE;1170;11/09/14
75;TRUE;1139;14/09/14
76;TRUE;4842;22/08/15
77;FALSE;1108;NA
78;FALSE;101;NA
79;TRUE;193;17/10/12
80;FALSE;1947;NA
81;FALSE;346;NA
82;FALSE;1837;NA
83;FALSE;902;NA
84;FALSE;2225;NA
85;FALSE;1202;NA
86;FALSE;1323;NA
87;FALSE;47;NA
88;FALSE;1412;NA
89;TRUE;693;09/12/12
90;FALSE;124;NA
91;FALSE;1870;NA
92;FALSE;467;15/04/15
93;FALSE;585;NA
94;FALSE;723;07/03/14
95;FALSE;1232;09/06/13
96;TRUE;546;16/03/15
97;TRUE;1399;26/06/14
98;FALSE;476;NA
99;FALSE;2749;11/01/13
100;FALSE;1327;27/10/14
101;FALSE;1704;NA
102;FALSE;1188;NA
103;FALSE;108;NA
104;FALSE;954;01/08/12
105;FALSE;2875;NA
106;TRUE;657;10/05/15
107;FALSE;1634;NA
108;FALSE;785;NA
109;FALSE;744;NA
110;FALSE;1287;NA
111;TRUE;1334;18/12/13
112;FALSE;903;NA
113;FALSE;298;NA
114;FALSE;6061;NA
115;FALSE;1469;NA
116;FALSE;3754;NA
117;FALSE;487;05/05/13
118;TRUE;1761;06/09/15
119;TRUE;327;10/05/14
120;FALSE;1214;NA
121;FALSE;543;NA
